REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
11/1/2015 13:00,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF MASSACHUSETTS AVENUE NW,2,2,2B,010700 2,10700,396340,137928
11/1/2015 15:20,THEFT F/AUTO,OTHERS,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,7,7D,007803 1,7803,405127,137046
11/1/2015 16:25,THEFT F/AUTO,OTHERS,5600 - 5699 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,7,7C,007807 1,7807,406954,136726
11/1/2015 17:20,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW,2,2,2B,010700 2,10700,396547,137583
11/1/2015 16:15,THEFT/OTHER,OTHERS,3000 - 3099 BLOCK OF 14TH STREET NW,3,1,1A,002802 1,2802,397174,140033
11/1/2015 18:51,THEFT F/AUTO,OTHERS,500 - 699 BLOCK OF KENYON STREET NW,3,1,1A,003200 4,3200,398127,140238
11/1/2015 0:30,ROBBERY,OTHERS,2400 - 2499 BLOCK OF PENNSYLVANIA AVENUE NW,2,2,2A,005500 2,5500,395458.32,137273.68
10/31/2015 21:00,MOTOR VEHICLE THEFT,OTHERS,2400 - 2499 BLOCK OF OBSERVATORY PLACE NW,2,3,3B,000300 4,300,393502,139261
11/1/2015 12:00,THEFT F/AUTO,OTHERS,BRANDYWINE STREET NW AND CONNECTICUT AVENUE NW,2,3,3F,001301 3,1301,394217.01,142422.66
11/9/2015 11:47,THEFT F/AUTO,OTHERS,4400 - 4499 BLOCK OF MASSACHUSETTS AVENUE NW,2,3,3D,000901 3,901,392375,141282
11/16/2015 12:57,THEFT F/AUTO,OTHERS,200 - 499 BLOCK OF ANACOSTIA ROAD SE,6,7,7F,007703 3,7703,403949,135293
10/20/2015 8:30,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF DE SALES STREET NW,2,2,2B,010700 1,10700,396569,137433
10/22/2015 9:45,ASSAULT W/DANGEROUS WEAPON,KNIFE,4500 4509  BLOCK OF BENNING ROAD NE,6,7,7D,009603 1,9603,405391,135837
10/20/2015 19:00,MOTOR VEHICLE THEFT,OTHERS,4439 - 4499 BLOCK OF E STREET SE,6,7,7F,009907 2,9907,405585,135081
10/22/2015 11:00,THEFT F/AUTO,OTHERS,2900 - 2915 BLOCK OF ELLICOTT STREET NW,2,3,3F,001301 2,1301,394858,142862
10/15/2015 9:00,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF L STREET NW,2,2,2A,010700 1,10700,396029,137321
10/22/2015 11:15,ROBBERY,GUN,900 - 999 BLOCK OF EAST CAPITOL STREET,1,6,6B,006700 3,6700,400589,135773
10/22/2015 13:06,THEFT F/AUTO,OTHERS,598 613  BLOCK OF ALABAMA AVENUE SE,7,8,8C,010400 1,10400,400168.16,130591.97
10/22/2015 15:11,THEFT/OTHER,OTHERS,3200 - 3275 BLOCK OF M STREET NW,2,2,2E,000202 4,202,394449,137479
10/22/2015 14:52,ASSAULT W/DANGEROUS WEAPON,GUN,1000 - 1199 BLOCK OF KEARNY STREET NE,5,5,5B,009301 2,9301,400723.71,140293.65
10/19/2015 20:30,THEFT/OTHER,OTHERS,800  - 899 BLOCK OF UPSHUR STREET NW,4,4,4C,002400 3,2400,397901,141557
10/22/2015 7:00,THEFT F/AUTO,OTHERS,3000 - 3021 BLOCK OF ELLICOTT STREET NW,2,3,3F,001301 2,1301,394664,142824
10/22/2015 12:00,THEFT/OTHER,OTHERS,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,005500 1,5500,396217.89,138008.23
10/22/2015 16:30,MOTOR VEHICLE THEFT,OTHERS,13TH STREET NW AND CORCORAN STREET NW,3,2,2F,005001 2,5001,397430.88,138222.81
